startappservice.com, StartApp 
moatads.com," Domains By Proxy, LLC "
applovin.com, Moniker Privacy Services 
2mdn.net, Google Inc.
vrvm.com, VERVE WIRELESS 
castplatform.com," WHOISGUARD, INC. "
wdtinc.com, Contact Privacy Inc. Customer 0137697136
youtube.com, Google Inc.
scorecardresearch.com," TMRG, Inc"
cloudfront.net," Amazon.com, Inc."
inmobi.com, InMobi Pte 
mobilecore.com, IRONSOURCE ISRAEL (2011) LTD
urbanairship.com, URBAN AIRSHIP
mydas.mobi,"Millennial Media, Inc."
ggpht.com, Google Inc.
ksmobile.com, ShellInternet
mobileapptracking.com," Domains By Proxy, LLC "
umeng.com," Beijing Ruixun Lingtong Technology Co., Ltd. (北京锐讯灵通科技有限公司)"
admob.com, Google Inc.
trackimpression.com," Domains By Proxy, LLC "
mysearch-online.com," Domains By Proxy, LLC "
scmpacdn.com, Privacy Protection Service INC d/b/a PrivacyProtect.org
gvt1.com, Google Inc.
doubleclick.net, Google Inc.
appsflyer.com, AppsFlyer
akamaihd.net," Akamai Technologies, inc."
googletagmanager.com, Google Inc.
googleadservices.com, Google Inc.
omtrdc.net, Adobe Systems Incorporated
shubhro.com," WHOISGUARD, INC."
googlesyndication.com, Google Inc.
twitter.com," Twitter, Inc."
advertising.com, AOL Advertising Inc.
uservoice.com," Whois Privacy Protection Service, Inc. "
amazonaws.com," Amazon.com, Inc."
typekit.net, Adobe Systems Incorporated
facebook.com," Facebook, Inc."
amazon-adsystem.com," Amazon Technologies, Inc."
mopub.com, MoPub Inc.
googleapis.com, Google Inc.
appspot.com, Google Inc.
adnxs.com, AppNexus Inc
rubiconproject.com," The Rubicon Project, Inc. "
goforandroid.com," Domains By Proxy, LLC "
bkrtx.com, Oracle Corporation
intellicast.com, WSI Corporation
bing.com, Microsoft Corporation
localytics.com, LOCALYTICS 
amazon.com," Amazon Technologies, Inc."
googleusercontent.com, Google Inc.
startappexchange.com," Domains By Proxy, LLC"
tapjoyads.com," Domains By Proxy, LLC "
flurry.com," Flurry, Inc"
apple.com, Apple Inc.
kochava.com, PLAYXPERT 
bluekai.com, Oracle Corporation
optimizely.com," Domains By Proxy, LLC "
picsart.com," Domains By Proxy, LLC "
yahoo.com, Yahoo! Inc.
newrelic.com, New Relic 
crashlytics.com," Crashlytics, Inc."
mixpanel.com," WHOISGUARD, INC."
google.com, Google Inc.
yemonisoni.com, Privacy Protection Service INC d/b/a PrivacyProtect.org
adobe.com, Adobe Systems Incorporated
quantserve.com, Quantcast
microsoft.com, Microsoft Corporation
crittercism.com,
ytimg.com, Google Inc.
demdex.net, Adobe Systems Incorporated
gstatic.com, Google Inc.
parse.com," Parse, LLC."
facebook.net," Facebook, Inc."
google-analytics.com, Google Inc.
googlevideo.com, Google Inc.
